Datum;Text;Typ;Budgetgrupp;Belopp;Saldo
2021-01-04;201229 A1;Korttransaktion;Övrigt;-200 kr;999,99
2021-01-04;201230 A3 ;Korttransaktion;Övrigt;-50 kr;999,99
2021-01-04;210101 B1;Korttransaktion;Övrigt;-100 kr;999,99
2021-01-04;210102 a4;Korttransaktion;Övrigt;-75 kr;999,99
2021-01-03;Swish betalning B2;Övrigt;Övrigt;-20 kr;999,99
2021-01-02;SWISH FRÅN Namn;Övrigt;Övrigt;-1 000 kr;999,99
2021-01-02;swish inbetalning Namn;Övrigt;Övrigt;1 000 kr;999,99
2021-01-01;Lorem Ipsum;Övrigt;Övrigt;-100 kr;999,99
2020-12-30;Swish betalning a2;Övrigt;Övrigt;-200 kr;999,99
2020-12-30;Betalning BG XXX-XXXX C2;Övrigt;Övrigt;-200 kr;999,99
2020-12-28;E1;;Övrigt;1 000 kr;999,99
2020-12-10;A4;;Övrigt;1 000 kr;999,99
